area_id,area_name,parent_area_id
1,New South Wales,0
10,Greater Sydney,1
11,Rest of NSW,1
2,Victoria,0
20,Greater Melbourne,2
21,Rest of Victoria,2
3,Queensland,0
30,Greater Brisbane,3
31,Rest of Qld,3
4,South Australia,0
40,Greater Adelaide,4
41,Rest of SA,4
5,Western Australia,0
50,Greater Perth,5
51,Rest of WA,5
6,Tasmania,0
60,Greater Hobart,6
61,Rest of Tasmania,6
7,Northern Territory,0
70,Greater Darwin,7
71,Rest of NT,7
8,Australian Capital Territory,0
80,Australian Capital Territory,8
9,Other Territories,0
90,Other Territories,9
102,Central Coast,10
10201,Gosford,102
102011028,Avoca Beach - Copacabana,10201
102011029,Box Head - MacMasters Beach,10201
102011030,Calga - Kulnura,10201
102011031,Erina - Green Point,10201
102011032,Gosford - Springfield,10201
102011033,Kariong,10201
102011034,Kincumber - Picketts Valley,10201
102011035,Narara,10201
102011036,Niagara Park - Lisarow,10201
102011037,Point Clare - Koolewong,10201
102011038,Saratoga - Davistown,10201
102011039,Terrigal - North Avoca,10201
102011040,Umina - Booker Bay - Patonga,10201
102011041,Wamberal - Forresters Beach,10201
102011042,Woy Woy - Blackwall,10201
102011043,Wyoming,10201
10202,Wyong,102
102021044,Bateau Bay - Killarney Vale,10202
102021045,Blue Haven - San Remo,10202
102021046,Budgewoi - Buff Point - Halekulani,10202
102021047,Chittaway Bay - Tumbi Umbi,10202
102021048,Gorokan - Kanwal - Charmhaven,10202
102021049,Jilliby - Yarramalong,10202
102021050,Lake Munmorah - Mannering Park,10202
102021051,Ourimbah - Fountaindale,10202
102021052,Summerland Point - Gwandalan,10202
102021053,The Entrance,10202
102021054,Toukley - Norah Head,10202
102021055,Tuggerah - Kangy Angy,10202
102021056,Warnervale - Wadalba,10202
102021057,Wyong,10202
103,Central West,11
104,Coffs Harbour - Grafton,11
105,Far West and Orana,11
106,Hunter Valley exc Newcastle,11
107,Illawarra,11
108,Mid North Coast,11
109,Murray,11
110,New England and North West,11
111,Newcastle and Lake Macquarie,11
112,Richmond - Tweed,11
113,Riverina,11
114,Southern Highlands and Shoalhaven,11
115,Sydney - Baulkham Hills and Hawkesbury,10
11501,Baulkham Hills,115
115011290,Baulkham Hills (East),11501
115011291,Baulkham Hills (West) - Bella Vista,11501
115011294,Glenhaven,11501
115011296,West Pennant Hills,11501
115011553,Castle Hill - Central,11501
115011554,Castle Hill - East,11501
115011555,Castle Hill - North,11501
115011556,Castle Hill - South,11501
115011557,Castle Hill - West,11501
115011558,Cherrybrook,11501
115011559,Kellyville,11501
11502,Dural - Wisemans Ferry,115
115021297,Dural - Kenthurst - Wisemans Ferry,11502
115021298,Galston - Laughtondale,11502
11503,Hawkesbury,115
115031299,Bilpin - Colo - St Albans,11503
115031300,Kurrajong Heights - Ebenezer,11503
11504,Rouse Hill - McGraths Hill,115
115041301,Pitt Town - McGraths Hill,11504
115041302,Rouse Hill - Beaumont Hills,11504
116,Sydney - Blacktown,10
11601,Blacktown,116
116011303,Blacktown (East) - Kings Park,11601
116011304,Blacktown (North) - Marayong,11601
116011306,Doonside - Woodcroft,11601
116011307,Lalor Park - Kings Langley,11601
116011308,Seven Hills - Toongabbie,11601
116011560,Blacktown (South),11601
116011561,Blacktown (West),11601
11602,Blacktown - North,116
116021309,Glenwood,11602
116021310,Parklea - Kellyville Ridge,11602
116021312,Riverstone - Marsden Park,11602
116021562,Acacia Gardens,11602
116021563,Quakers Hill,11602
11603,Mount Druitt,116
116031313,Bidwill - Hebersham - Emerton,11603
116031314,Glendenning - Dean Park,11603
116031315,Hassall Grove - Plumpton,11603
116031316,Lethbridge Park - Tregear,11603
116031317,Mount Druitt - Whalan,11603
116031318,Prospect Reservoir,11603
116031319,Rooty Hill - Minchinbury,11603
117,Sydney - City and Inner South,10
11701,Botany,117
117011320,Banksmeadow,11701
117011321,Botany,11701
117011322,Mascot - Eastlakes,11701
117011323,Pagewood - Hillsdale - Daceyville,11701
117011324,Port Botany Industrial,11701
117011325,Sydney Airport,11701
11702,Marrickville - Sydenham - Petersham,117
117021326,Marrickville,11702
117021327,Petersham - Stanmore,11702
117021328,Sydenham - Tempe - St Peters,11702
11703,Sydney Inner City,117
117031329,Darlinghurst,11703
117031330,Erskineville - Alexandria,11703
117031331,Glebe - Forest Lodge,11703
117031332,Newtown - Camperdown - Darlington,11703
117031333,Potts Point - Woolloomooloo,11703
117031334,Pyrmont - Ultimo,11703
117031335,Redfern - Chippendale,11703
117031336,Surry Hills,11703
117031337,Sydney - Haymarket - The Rocks,11703
117031338,Waterloo - Beaconsfield,11703
118,Sydney - Eastern Suburbs,10
11801,Eastern Suburbs - North,118
118011339,Bondi - Tamarama - Bronte,11801
118011340,Bondi Beach - North Bondi,11801
118011341,Bondi Junction - Waverly,11801
118011342,Centennial Park,11801
118011343,Double Bay - Bellevue Hill,11801
118011344,Dover Heights,11801
118011345,Paddington - Moore Park,11801
118011346,Rose Bay - Vaucluse - Watsons Bay,11801
118011347,Woollahra,11801
11802,Eastern Suburbs - South,118
118021348,Coogee - Clovelly,11802
